web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775668154-1","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Amul Mexican Salsa Cheese Sauce","200 g","₹99","","","ADD","18 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3ada3c1e-9901-4d44-bd4f-6a36ebcacbe6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-2","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Ching's Secret White Chilli Vinegar with Green Jwala Chilli","170 ml","₹47","₹50","6%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8f92e59e-0239-4986-b1e1-c3dbff77158b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-3","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Biswa Bangla Mustard Kasundi","200 g","₹67","₹113","40%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/74b948d2-1f5e-44f9-af68-be542091aa5a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-4","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Amul Pizza Cheese Sauce","200 g","₹99","","","ADD","18 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3cee2a0f-3626-42bd-9630-3becb6cce0bf.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-5","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Amul Jalapeno Cheese Sauce","200 g","₹99","","","ADD","18 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1cc31d62-e53c-43e5-8d4c-a480d5d9a170.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-6","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Snackible Biscuit Sticks with Chocolatey Dip","30 g","₹33","₹35","5%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772800796323-29.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-7","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Snackible Baked Pizza Sticks with Jalapeno Dip","75 g","₹67","₹70","","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771313685905-4888.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-8","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Veeba Southwest Chipotle Dressing","300 g","₹194","","","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/591693c2-33e3-4fa0-aa5f-118babffc4f5.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-9","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Amul Green Chutney Cheese Sauce","200 g","₹99","","","ADD","18 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/670ac1ed-e056-4374-847c-a9735bcbdbb5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-10","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Real Thai Sweet Chilli Sauce","235 ml","₹189","₹210","10%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/084a7b36-98df-44ba-a145-ad9cbff99812.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-11","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Veeba Cheese & Jalapeno Dip","300 g","₹147","₹169","13%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d21437c4-d5d7-4084-8b3b-dc2918576b63.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-12","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Veeba Cheesy Melt Cheddar Dip and Spread","200 g","₹101","₹114","11%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/29877230-7daa-4c1e-b3f3-b97db7085d4f.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-13","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Veeba Thousand Island Dressing","300 g","₹169","","","ADD","18 mins","","","",""
"1775668154-14","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Moi Soi Sichuan Chilli Oil - Dip - Spread - Cook","175 g","₹198","₹280","29%
OFF","ADD","18 mins","","","",""
"1775668154-15","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","The Gourmet Jar French Vinaigrette","250 g","₹312","₹352","11%
OFF","ADD","20 mins","","","",""
"1775668154-16","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Wingreens Farms Garlic Dip","150 g","₹165","₹187","11%
OFF","ADD","18 mins","2 options","","",""
"1775668154-17","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Wingreens Farms Original Olive Hummus Dip","150 g","₹165","₹187","11%
OFF","ADD","18 mins","2 options","","",""
"1775668154-18","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Biswa Bangla Aam Kasundi Sour","200 g","₹93","₹126","26%
OFF","ADD","18 mins","","","",""
"1775668154-19","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","MasterChow Sichuan Chilli Oil","170 g","₹209","₹295","29%
OFF","ADD","18 mins","2 options","","",""
"1775668154-20","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Saucery Roasted Garlic & Spring Onion Dip","150 g","₹159","₹187","14%
OFF","ADD","18 mins","2 options","","",""
"1775668154-21","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Veeba Cheesy Pasta Sauce Creamy Alfredo","250 g","₹107","₹125","14%
OFF","ADD","18 mins","","","",""
"1775668154-22","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Wingreens Farms Classic Hummus Dip","150 g","₹165","₹187","11%
OFF","ADD","18 mins","2 options","","",""
"1775668154-23","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Wingreens Farms Peri Peri Hummus Dip","150 g","₹165","₹187","11%
OFF","ADD","18 mins","2 options","","",""
"1775668154-24","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Yu Original Chilli Oil - Crispy & Bold","170 g","₹160","₹225","28%
OFF","ADD","18 mins","2 options","","",""
"1775668154-25","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Cornitos Salsa Dip 4-In-1","200 g","₹105","₹110","","ADD","18 mins","","","",""
"1775668154-26","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Jolkhabar Kasundi & Aam Kasundi","2 x 250 g","₹209","₹399","47%
OFF","ADD","20 mins","","","",""
"1775668154-27","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Kapiva Himalayan Apple Cider Apple Cider Vinegar","500 ml","₹299","","","ADD","18 mins","2 options","","",""
"1775668154-28","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Remia Caesar Salad Dressing","250 ml","₹325","","","ADD","20 mins","","","",""
"1775668154-29","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Snackible Dipsters Vanilla Creme Dip with Biscuit Sticks","30 g","₹33","₹35","5%
OFF","ADD","18 mins","","","",""
"1775668154-30","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Veeba Caesar Salad Dressing","300 g","₹184","","","ADD","18 mins","","","",""
"1775668154-31","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Veeba Thousand Island Dressing","300 g","₹169","","","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a735b2d9-383f-49d7-baf9-dea97e797153.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-32","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Moi Soi Sichuan Chilli Oil - Dip - Spread - Cook","175 g","₹198","₹280","29%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6c590bf0-77c6-4e20-ba97-28a7fa88c690.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-33","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","The Gourmet Jar French Vinaigrette","250 g","₹312","₹352","11%
OFF","ADD","20 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cd7a993c-ca03-407c-b50d-9c13bfdfa240.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-34","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Wingreens Farms Garlic Dip","150 g","₹165","₹187","11%
OFF","ADD","18 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773396100077-374.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668154-35","https://blinkit.com/cn/sauces-spreads/dips-salad-dressings/cid/972/89","Wingreens Farms Original Olive Hummus Dip","150 g","₹165","₹187","11%
OFF","ADD","18 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773396100077-406.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
