web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775625444-1","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Lipton Raspberry Mint Green Tea Bags","25 pcs","₹168","₹190","11%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f28f3ec8-813e-4f2b-b9e3-736950db9b76.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-2","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Lipton Honey Lemon Green Tea Bags","25 pcs","₹171","₹190","10%
OFF","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770013136174-404.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-3","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Lemon & Honey Green Tea Bags","25 pcs","₹159","₹190","16%
OFF","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/80090bd0-3c8d-4ae6-91db-e14b5d2d9be8.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-4","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Lipton Loose Green Tea","100 g","₹170","","","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e983b872-edf2-4a34-8c53-4b2ad54c362b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-5","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Wagh Bakri Sudh Kahwa Green Tea","25 pcs","₹199","₹300","33%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d3a1d87a-372f-4453-bfab-1d4659a2759e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-6","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Lipton Lemongrass Ginger Green Tea Bags","25 pcs","₹168","₹190","11%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2cd98c3a-4acd-4eeb-a382-1204d301a4d4.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-7","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Goodricke Thurbo Darjeeling Tea (Whole Leaf)","250 g","₹375","₹390","","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/740904c4-6cd9-431b-84d8-fcd27b49ac07.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-8","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Slim Care Green Tea Bags (With L-Carnitine, Ginger, Mint & Lemon)","25 pcs","₹182","₹195","6%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0edb6a88-4fb9-4771-b1fc-dccf90fbb8a3.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-9","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Wagh Bakri Honey Lemon Green Tea","25 pcs","₹139","₹200","30%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/df36160c-a8a9-4310-af0c-e443751ff274.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-10","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Flurys Lemon And Honey Green Tea Bags","25 pcs","₹168","₹240","30%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/651ed8cf-74a7-489f-89f0-aba685390800.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-11","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Girnar Detox Desi Kahwa","10 pcs","₹100","","","13 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e72d3047-e472-4767-9a75-14648373a08d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-12","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Goodricke Roasted Darjeeling Tea","250 g","₹325","₹335","","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/732dc5ff-46a0-4c94-b8aa-2eda5be6a84f.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-13","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Slim Care Green Tea Bags (With L-Carnitine, Lemon & Honey)","25 pcs","₹180","₹195","7%
OFF","13 mins","ADD","","","",""
"1775625444-14","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Lipton Green Tea","250 g","₹382","₹410","6%
OFF","9 mins","ADD","","","",""
"1775625444-15","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with added Vitamin C)","25 pcs","₹162","₹190","14%
OFF","13 mins","ADD","2 options","","",""
"1775625444-16","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Bree Matcha Ceremonial Matcha Green Tea","30 g","₹1,280","₹1,600","20%
OFF","9 mins","ADD","","","",""
"1775625444-17","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Saffron Cup Kashmiri Kahwa Green Tea","100 g","₹362","₹402","9%
OFF","9 mins","ADD","","","",""
"1775625444-18","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Goodricke Castleton Vintage Darjeeling Tea","250 g","₹625","₹675","7%
OFF","13 mins","ADD","2 options","","",""
"1775625444-19","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Flurys Pure Chamomile Organic Tea Bags","20 pcs","₹188","₹250","24%
OFF","13 mins","ADD","","","",""
"1775625444-20","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Immune with Added Vitamin C Green Tea (100 g)","100 g","₹155","₹170","8%
OFF","13 mins","ADD","","","",""
"1775625444-21","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Lipton Clear & Light Green Tea Bags","50 pcs","₹327","₹375","12%
OFF","13 mins","ADD","","","",""
"1775625444-22","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Biswa Bangla Organic First Flush Darjeeling Tea","100 g","₹414","₹479","13%
OFF","13 mins","ADD","","","",""
"1775625444-23","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Flurys Masala Tea Bags","25 pcs","₹165","₹220","25%
OFF","13 mins","ADD","","","",""
"1775625444-24","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Goodricke Barnesbeg Organic Darjeeling Green Tea","100 g","₹162","₹180","10%
OFF","13 mins","ADD","2 options","","",""
"1775625444-25","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Lipton Clear & Light Green Tea Bags","100 pcs","₹611","₹710","13%
OFF","9 mins","ADD","","","",""
"1775625444-26","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Organic India Tulsi Classic Green Tea Bags","25 pcs","₹228","₹240","5%
OFF","13 mins","ADD","2 options","","",""
"1775625444-27","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Organic India Lemon Ginger Tulsi Green Tea Bags","25 pcs","₹228","₹240","5%
OFF","13 mins","ADD","2 options","","",""
"1775625444-28","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Organic India Tulsi Honey Lemon Green Tea Bags","25 pcs","₹228","₹240","5%
OFF","13 mins","ADD","","","",""
"1775625444-29","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Lemon & Honey Flavoured Green Tea Bags","50 pcs","₹236","₹375","37%
OFF","13 mins","ADD","","","",""
"1775625444-30","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Twinings Origins Classic Assam Tea Bags","25 pcs","₹307","₹325","5%
OFF","13 mins","ADD","","","",""
"1775625444-31","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Slim Care Green Tea Bags (With L-Carnitine, Lemon & Honey)","25 pcs","₹180","₹195","7%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f188a4bd-2a78-4e30-8c07-7a821aefe965.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-32","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Lipton Green Tea","250 g","₹382","₹410","6%
OFF","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a9b46055-e824-4988-88da-172271f1a719.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-33","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with added Vitamin C)","25 pcs","₹162","₹190","14%
OFF","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/772b9464-dd32-44f8-82a4-6a79effe7274.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-34","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Bree Matcha Ceremonial Matcha Green Tea","30 g","₹1,280","₹1,600","20%
OFF","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0c7cf7f8-e9aa-4944-bade-b7cdd97821a6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-35","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Saffron Cup Kashmiri Kahwa Green Tea","100 g","₹362","₹402","9%
OFF","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/853a9c9a-08a2-43b4-9eae-190d5440dc0e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-36","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Goodricke Castleton Vintage Darjeeling Tea","250 g","₹625","₹675","7%
OFF","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/77ed9cb4-4fce-4ed1-8c99-570c42456a13.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-37","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Flurys Pure Chamomile Organic Tea Bags","20 pcs","₹188","₹250","24%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771395208762-1286.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-38","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Immune with Added Vitamin C Green Tea (100 g)","100 g","₹155","₹170","8%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/328ff6df-74b2-41cc-9fd0-7bd5e25d4ad0.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-39","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Lipton Clear & Light Green Tea Bags","50 pcs","₹327","₹375","12%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/54ead740-19e9-4b63-919c-d2d976e44ae6.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-40","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Biswa Bangla Organic First Flush Darjeeling Tea","100 g","₹414","₹479","13%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3bd59967-36e0-4d9c-8275-02e1fa9c3468.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-41","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Flurys Masala Tea Bags","25 pcs","₹165","₹220","25%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771553348655-20.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-42","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Goodricke Barnesbeg Organic Darjeeling Green Tea","100 g","₹162","₹180","10%
OFF","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ce65c761-9dd1-40ad-9fdc-f051545d63db.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-43","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Lipton Clear & Light Green Tea Bags","100 pcs","₹611","₹710","13%
OFF","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8ccfbbbc-ed39-4d3f-8cab-dd26b50e3f79.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-44","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Organic India Tulsi Classic Green Tea Bags","25 pcs","₹228","₹240","5%
OFF","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/44621639-473d-4f9b-bb1e-19348d7885df.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-45","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Organic India Lemon Ginger Tulsi Green Tea Bags","25 pcs","₹228","₹240","5%
OFF","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c6b87bae-fa82-4f64-a049-3eb3813b4828.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-46","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Organic India Tulsi Honey Lemon Green Tea Bags","25 pcs","₹228","₹240","5%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f4e2fddb-1398-47f9-8344-06219ee8181c.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-47","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Lemon & Honey Flavoured Green Tea Bags","50 pcs","₹236","₹375","37%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b8c899c6-cdfe-4114-8057-f5bf5ad331a6.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-48","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Twinings Origins Classic Assam Tea Bags","25 pcs","₹307","₹325","5%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e1d7cb39-2130-47ca-97ae-b6a6280274fa.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-49","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Organic India Tulsi Ginger Turmeric Tea Bags","25 pcs","₹247","₹260","5%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a5454294-714f-4a4a-a4e5-560cc584b703.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-50","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Organic India Tulsi Honey Chamomile Tea Bags","25 pcs","₹232","₹244","","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b192f8ac-e584-4ab3-9c3e-9e9bba61b9f0.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-51","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Organic India Tulsi Original Green Tea (Classic)","100 g","₹285","₹300","5%
OFF","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/77c37ec7-eb84-4309-bfe3-287840d8475c.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-52","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Twinings English Breakfast Tea Bags","25 pcs","₹353","₹375","5%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/14334095-e6eb-4344-96ba-6aca90740b04.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-53","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Twinings Pure Camomile Tea Bags","25 pcs","₹378","₹395","","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/77deff04-9649-494a-9269-7603b55ad7fe.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-54","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Vahdam Chamomile Mint Citrus Green Tea Bags","15 pcs","₹187","₹225","16%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2cf5e33c-bebc-4a39-9593-d5fecaaee2da.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625444-55","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Flurys Organic Herbal Infusion Slim Tea Bags","20 pcs","₹188","₹250","24%
OFF","13 mins","ADD","","","",""
"1775625444-56","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Twinings Classics Earl Grey Tea Bags","25 pcs","₹353","₹375","5%
OFF","13 mins","ADD","","","",""
"1775625444-57","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Twinings Lemon & Honey Green Tea Bags","25 pcs","₹300","₹345","13%
OFF","13 mins","ADD","","","",""
"1775625444-58","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Urban Platter Blue Butterfly Pea Flower Tea","40 g","₹250","","","13 mins","ADD","","","",""
"1775625444-59","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Twinings Lemon & Ginger Tea Bags","25 pcs","₹428","₹445","","13 mins","ADD","","","",""
"1775625444-60","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","1950 origins Premium Darjeeling Long Leaf Green Tea","80 g","₹646","₹680","5%
OFF","9 mins","ADD","","","",""
"1775625444-61","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Chaayos Masala Chai Tea Bags","25 pcs","₹131","₹159","17%
OFF","13 mins","ADD","","","",""
"1775625444-62","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Eco Valley Ginger Mulethi Lemon Green Tea Bags","25 pcs","₹199","₹220","9%
OFF","13 mins","ADD","","","",""
"1775625444-63","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Flurys Envelop Green Tea Bags","100 pcs","₹423","₹650","34%
OFF","13 mins","ADD","","","",""
"1775625444-64","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Lipton Tulsi Natura Green Tea Bags","25 pcs","₹171","₹190","10%
OFF","13 mins","ADD","","","",""
"1775625444-65","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tearaja Aqua Tea Gift Box","6 pcs","₹399","₹799","50%
OFF","9 mins","ADD","","","",""
"1775625444-66","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Classic Green Tea Bags (Immune with added Vitamin C)","25 pcs","₹162","₹190","14%
OFF","13 mins","ADD","2 options","","",""
"1775625444-67","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with Added Vitamin C)","100 pcs","₹554","₹710","21%
OFF","13 mins","ADD","","","",""
"1775625444-68","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Twinings Pure Green Tea Bags","25 pcs","₹353","₹375","5%
OFF","13 mins","ADD","","","",""
"1775625444-69","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Twinings The Royal British Garden Collection Green Tea Gift Pack","66 g","₹425","₹499","14%
OFF","13 mins","ADD","","","",""
"1775625444-70","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Ginger Mint & Lemon Flavoured Green Tea Bags","50 pcs","₹236","₹375","37%
OFF","13 mins","ADD","","","",""
"1775625444-71","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Tetley Lemon & Honey Green Tea Bags (with added Vitamin C)","100 pcs","₹554","₹710","21%
OFF","13 mins","ADD","","","",""
"1775625444-72","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Flurys Jasmine Flavoured Green Tea Bags","25 pcs","₹180","₹240","25%
OFF","13 mins","ADD","","","",""
"1775625444-73","https://blinkit.com/cn/tea-coffee-health-drinks/green-flavoured-tea/cid/12/1605","Wagh Bakri Instant Tea Premix Elaichi + Ginger + Masala - Pack of 2","2 x 12 pcs","₹275","₹300","8%
OFF","13 mins","ADD","","","",""
