web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775625744-13","https://blinkit.com/cn/atta/cid/16/1165","Hanumanta Foods Fresh Chakki Atta By","5 kg","₹199","₹300","33%
OFF","ADD","10 mins","","","",""
"1775625744-14","https://blinkit.com/cn/atta/cid/16/1165","Pillsbury Chakki Fresh Atta (100% atta, 0% Maida)","1 kg","₹55","₹59","6%
OFF","ADD","12 mins","","","",""
"1775625744-15","https://blinkit.com/cn/atta/cid/16/1165","Aashirvaad Organic Atta","5 kg","₹318","₹414","23%
OFF","ADD","12 mins","","","",""
"1775625744-16","https://blinkit.com/cn/atta/cid/16/1165","Pillsbury Chakki Fresh Superior-Quality Atta (100% atta, 0% Maida)","5 kg","₹226","₹290","22%
OFF","ADD","12 mins","","","",""
"1775625744-17","https://blinkit.com/cn/atta/cid/16/1165","Aashirvaad Organic Atta","1 kg","₹70","₹86","18%
OFF","ADD","12 mins","","","",""
"1775625744-18","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva Organic Ragi Flour","500 g","₹94","₹95","","ADD","12 mins","","","",""
"1775625744-19","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva Wheat Organic Atta - 1 kg","1 kg","₹67","₹85","21%
OFF","ADD","12 mins","","","",""
"1775625744-20","https://blinkit.com/cn/atta/cid/16/1165","Ganesh Whole Wheat Multigrain Atta","5 kg","₹331","₹388","14%
OFF","ADD","12 mins","","","",""
"1775625744-21","https://blinkit.com/cn/atta/cid/16/1165","Ganesh Whole Wheat Premium Sharbati Atta","1 kg","₹71","₹78","8%
OFF","ADD","12 mins","","","",""
"1775625744-22","https://blinkit.com/cn/atta/cid/16/1165","Ganesh Whole Wheat Premium Sharbati Atta","5 kg","₹295","₹380","22%
OFF","ADD","12 mins","","","",""
"1775625744-23","https://blinkit.com/cn/atta/cid/16/1165","Aashirvaad Low GI Sugar Release Control Atta","5 kg","₹476","₹540","11%
OFF","ADD","12 mins","","","",""
"1775625744-24","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva Multigrain Organic Atta","1 kg","₹100","₹125","20%
OFF","ADD","12 mins","","","",""
"1775625744-25","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva Wheat Organic Atta - 5 kg","5 kg","₹306","₹399","23%
OFF","ADD","12 mins","","","",""
"1775625744-26","https://blinkit.com/cn/atta/cid/16/1165","Patanjali Whole Wheat Chakki Atta (with Bran) 5 kg","5 kg","₹255","₹265","","ADD","12 mins","","","",""
"1775625744-27","https://blinkit.com/cn/atta/cid/16/1165","Pillsbury Chakki-Fresh Atta (100% atta, 0% Maida)","10 kg","₹432","₹572","24%
OFF","ADD","12 mins","","","",""
"1775625744-28","https://blinkit.com/cn/atta/cid/16/1165","Pillsbury High Fibre Multigrain Atta","5 kg","₹308","₹378","18%
OFF","ADD","12 mins","","","",""
"1775625744-29","https://blinkit.com/cn/atta/cid/16/1165","Fortune Chakki Fresh (100% Atta, 0% Maida) Atta (10 kg)","10 kg","₹451","₹507","11%
OFF","ADD","12 mins","","","",""
"1775625744-30","https://blinkit.com/cn/atta/cid/16/1165","Two Brothers Khapli Wheat Atta, Stoneground","2 kg","₹466","₹499","6%
OFF","ADD","12 mins","","","",""
"1775625744-31","https://blinkit.com/cn/atta/cid/16/1165","Hanumanta Foods Fresh Chakki Atta By","5 kg","₹199","₹300","33%
OFF","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5f1c57e4-adff-4443-97c9-ae62274fe4bf.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-32","https://blinkit.com/cn/atta/cid/16/1165","Pillsbury Chakki Fresh Atta (100% atta, 0% Maida)","1 kg","₹55","₹59","6%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/81d17187-b0f3-4010-84f3-14b0596b9478.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-33","https://blinkit.com/cn/atta/cid/16/1165","Aashirvaad Organic Atta","5 kg","₹318","₹414","23%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0a222058-6fb7-4df3-9419-decfd65529f9.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-34","https://blinkit.com/cn/atta/cid/16/1165","Pillsbury Chakki Fresh Superior-Quality Atta (100% atta, 0% Maida)","5 kg","₹226","₹290","22%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/88e0a99c-e6e6-4a1e-a1ab-95c39effb865.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-35","https://blinkit.com/cn/atta/cid/16/1165","Aashirvaad Organic Atta","1 kg","₹70","₹86","18%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b9bb083d-b44f-42a7-922c-39abd37a446c.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-36","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva Organic Ragi Flour","500 g","₹94","₹95","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8d7f3901-6a41-48fe-8dab-8f7051f3b952.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-37","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva Wheat Organic Atta - 1 kg","1 kg","₹67","₹85","21%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a6be257d-8d32-4b37-9f15-a72398d6a2fd.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-38","https://blinkit.com/cn/atta/cid/16/1165","Ganesh Whole Wheat Multigrain Atta","5 kg","₹331","₹388","14%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/661fe146-d682-45f7-a7f0-f2f9cba54dba.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-39","https://blinkit.com/cn/atta/cid/16/1165","Ganesh Whole Wheat Premium Sharbati Atta","1 kg","₹71","₹78","8%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e45788a5-705d-46bf-9622-6cc34bf2ba17.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-40","https://blinkit.com/cn/atta/cid/16/1165","Ganesh Whole Wheat Premium Sharbati Atta","5 kg","₹295","₹380","22%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0d23bec8-0970-417e-978d-bc82ff062f49.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-41","https://blinkit.com/cn/atta/cid/16/1165","Aashirvaad Low GI Sugar Release Control Atta","5 kg","₹476","₹540","11%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d3b15d2a-47e1-4863-b68c-ccf383f9f0ac.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-42","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva Multigrain Organic Atta","1 kg","₹100","₹125","20%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f61dc7f1-ed4b-45d1-864c-2446a8de1959.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-43","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva Wheat Organic Atta - 5 kg","5 kg","₹306","₹399","23%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2496ea2d-786f-4f6f-b8a1-3c8adae5d142.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-44","https://blinkit.com/cn/atta/cid/16/1165","Patanjali Whole Wheat Chakki Atta (with Bran) 5 kg","5 kg","₹255","₹265","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bc0577fb-33d8-4fff-80f7-61596307537c.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-45","https://blinkit.com/cn/atta/cid/16/1165","Pillsbury Chakki-Fresh Atta (100% atta, 0% Maida)","10 kg","₹432","₹572","24%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e05e6ce1-50c8-4790-8f4e-586b946bad2a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-46","https://blinkit.com/cn/atta/cid/16/1165","Pillsbury High Fibre Multigrain Atta","5 kg","₹308","₹378","18%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1b665fa0-cf61-4007-bed2-14cf2ee4baae.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-47","https://blinkit.com/cn/atta/cid/16/1165","Fortune Chakki Fresh (100% Atta, 0% Maida) Atta (10 kg)","10 kg","₹451","₹507","11%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1769779424274-252.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-48","https://blinkit.com/cn/atta/cid/16/1165","Two Brothers Khapli Wheat Atta, Stoneground","2 kg","₹466","₹499","6%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/13ef5495-60d9-4bcc-9717-c238527eb542.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-49","https://blinkit.com/cn/atta/cid/16/1165","24 Mantra Organic Jowar Flour","500 g","₹78","₹85","8%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773230735506-46.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-50","https://blinkit.com/cn/atta/cid/16/1165","24 Mantra Organic Ragi Flour","500 g","₹77","₹85","9%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773230735506-36.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-51","https://blinkit.com/cn/atta/cid/16/1165","24 Mantra Organic Sattu","500 g","₹122","₹140","12%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9edbf2c5-2077-4408-a89b-e9f174afa81f.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-52","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva Organic Foxtail Millet","500 g","₹119","₹145","17%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bb079841-7096-4130-b87d-431c0d8105f6.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-53","https://blinkit.com/cn/atta/cid/16/1165","True Story 100% Pure Organic Ragi Flour","500 g","₹68","₹80","15%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b8e5ffaf-0119-4127-8a33-fe6b0a79dee5.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-54","https://blinkit.com/cn/atta/cid/16/1165","Praakritik Natural Organic Khapli Wheat Atta - 1 Kg","1 kg","₹162","₹189","14%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771395208762-204.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-55","https://blinkit.com/cn/atta/cid/16/1165","24 Mantra Organic Rice Flour","500 g","₹58","₹70","17%
OFF","ADD","12 mins","","","",""
"1775625744-56","https://blinkit.com/cn/atta/cid/16/1165","True Story Organic Jowar Flour","500 g","₹60","₹75","20%
OFF","ADD","12 mins","","","",""
"1775625744-57","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva - Makki Atta (Maize Flour)/Makka Atta","500 g","₹56","₹70","20%
OFF","ADD","12 mins","","","",""
"1775625744-58","https://blinkit.com/cn/atta/cid/16/1165","Sugar Watchers 7-Grain Low GI Atta","5 kg","₹689","₹845","18%
OFF","ADD","10 mins","","","",""
"1775625744-59","https://blinkit.com/cn/atta/cid/16/1165","Natureland - Organic Bajra Flour","500 g","₹62","₹70","11%
OFF","ADD","12 mins","","","",""
"1775625744-60","https://blinkit.com/cn/atta/cid/16/1165","Natureland - Organic Ragi Flour","500 g","₹70","₹79","11%
OFF","ADD","12 mins","","","",""
"1775625744-61","https://blinkit.com/cn/atta/cid/16/1165","Natureland Organic Buckwheat/Kuttu Flour","500 g","₹99","₹195","49%
OFF","ADD","12 mins","","","",""
"1775625744-62","https://blinkit.com/cn/atta/cid/16/1165","Nutroactive Keto Atta / Flour Ultra Low Carb","1 kg","₹499","₹531","6%
OFF","ADD","10 mins","","","",""
"1775625744-63","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva Organic Bajra Flour","500 g","₹70","₹75","6%
OFF","ADD","12 mins","","","",""
"1775625744-64","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva Organic Buckwheat/Kuttu Flour","250 g","₹74","₹95","22%
OFF","ADD","12 mins","","","",""
"1775625744-65","https://blinkit.com/cn/atta/cid/16/1165","True Story Organic Bajra Flour","500 g","₹62","₹75","17%
OFF","ADD","12 mins","","","",""
"1775625744-66","https://blinkit.com/cn/atta/cid/16/1165","Praakritik Singhara Flour","500 g","₹226","₹249","9%
OFF","ADD","12 mins","","","",""
"1775625744-67","https://blinkit.com/cn/atta/cid/16/1165","24 Mantra Organic 7 Grain Atta","1 kg","₹115","₹130","11%
OFF","ADD","12 mins","","","",""
"1775625744-68","https://blinkit.com/cn/atta/cid/16/1165","Patanjali Traditional Whole Wheat Chakki Atta (with Bran)","10 kg","₹471","₹500","5%
OFF","ADD","12 mins","","","",""
"1775625744-69","https://blinkit.com/cn/atta/cid/16/1165","Emami Healthy & Tasty Amritā Fresh Chakki Atta","5 kg","₹230","₹280","17%
OFF","ADD","12 mins","","","",""
"1775625744-70","https://blinkit.com/cn/atta/cid/16/1165","24 Mantra Organic Whole Wheat Atta","5 kg","₹301","₹425","29%
OFF","ADD","12 mins","","","",""
"1775625744-71","https://blinkit.com/cn/atta/cid/16/1165","True Story Organic Sattu","500 g","₹104","₹130","20%
OFF","ADD","12 mins","","","",""
"1775625744-72","https://blinkit.com/cn/atta/cid/16/1165","Two Brothers Roasted Bengal Gram Sattu Atta","1 kg","₹364","₹395","7%
OFF","ADD","10 mins","","","",""
"1775625744-73","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva Organic Rice Flour","500 g","₹66","₹70","5%
OFF","ADD","12 mins","","","",""
"1775625744-74","https://blinkit.com/cn/atta/cid/16/1165","24 Mantra Organic 7 Grain Organic Atta","5 kg","₹519","₹625","16%
OFF","ADD","12 mins","","","",""
"1775625744-75","https://blinkit.com/cn/atta/cid/16/1165","Two Brothers Khapli Wheat Atta, Stoneground","5 kg","₹1,142","₹1,199","","ADD","12 mins","","","",""
"1775625744-76","https://blinkit.com/cn/atta/cid/16/1165","Lo Foods Ultra Low Carb Keto Atta (Low GI 30gm Protein Flour)","1 kg","₹569","₹599","5%
OFF","ADD","12 mins","","","",""
"1775625744-77","https://blinkit.com/cn/atta/cid/16/1165","Emami Healthy & Tasty Amritā Fresh Atta","1 kg","₹55","₹56","","ADD","12 mins","","","",""
"1775625744-78","https://blinkit.com/cn/atta/cid/16/1165","Jivika Khapli Wheat Atta (Khāpali ātā)","2 kg","₹374","₹525","28%
OFF","ADD","10 mins","","","",""
"1775625744-79","https://blinkit.com/cn/atta/cid/16/1165","24 Mantra Organic Rice Flour","500 g","₹58","₹70","17%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ff68ba1c-d2e6-4ffc-a735-54eb243f4a7d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-80","https://blinkit.com/cn/atta/cid/16/1165","True Story Organic Jowar Flour","500 g","₹60","₹75","20%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5035df8f-212e-45fd-a23f-964ffd1d9ba0.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-81","https://blinkit.com/cn/atta/cid/16/1165","Organic Tattva - Makki Atta (Maize Flour)/Makka Atta","500 g","₹56","₹70","20%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/99b6f784-96da-4912-93cf-2e803e57fd32.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-82","https://blinkit.com/cn/atta/cid/16/1165","Sugar Watchers 7-Grain Low GI Atta","5 kg","₹689","₹845","18%
OFF","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9ec3ae6a-a63d-4099-ab5c-749cd5f9de55.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625744-83","https://blinkit.com/cn/atta/cid/16/1165","Natureland - Organic Bajra Flour","500 g","₹62","₹70","11%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1a3b2ab6-5e05-46d7-ade1-41981e1c0f7d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
