web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775623957-1","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Perfora Mouth Spray - Instant Fresh Breath (UM)","10 ml","₹159","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4217f86f-cafb-44e7-8afb-6475fd3e64f1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623957-2","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","GO DESi Popz Tangy Imli Lollipop Candy","8 pcs","₹50","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/de6cc2fb-de87-4112-a89e-cf7c263e2e3e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623957-3","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Chandan Saunf Elaichi Mouth Freshener","100 g","₹45","₹50","10%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/53ca4f43-b66c-4e1d-b105-9db9a4491478.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623957-4","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Jaina Silpa Mandir Ajowan Goli Candy","325 g","₹198","₹220","10%
OFF","ADD","17 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773650085808-308.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775623957-5","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Jaina Silpa Mandir Paan Mouth Freshener","200 g","₹198","₹220","10%
OFF","ADD","17 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7c207015-5c5a-4bc7-846e-795910c55d21.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775623957-6","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","On1y Anardana Digestive Goli","180 g","₹135","₹159","15%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b4b0691c-9368-4d6b-b270-8be7996021d8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623957-7","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","GO DESi Meetha Paan Desi Mints","60 g","₹80","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a8b16dad-42a4-4f24-b5c9-13fb0ca62492.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623957-8","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Jaina Silpa Mandir Dalim Anardana Goli (Sweet & Sour)","300 g","₹180","₹200","10%
OFF","ADD","17 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/48e50202-4b5c-413e-ad38-1d458b166257.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775623957-9","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","On1y Imli Goli Candy","115 g","₹115","₹135","14%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/25e6d614-76cb-477e-b7d4-a143de9ebe6e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623957-10","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","GO DESi POPz Kaccha Aam Lollipop Candy","8 pcs","₹50","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f2e268ac-d551-40ce-a708-8f1848d9d858.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623957-11","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Chandan Jeera Goli","100 g","₹45","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d4cde8c5-7d93-419a-b37f-6973e518afd4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623957-12","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Surili Calcutta Meetha Paan Mouth Freshener with Rose Mukhvas","200 g","₹234","₹360","35%
OFF","ADD","17 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6e295473-6bfd-4ad6-b0e3-ffd993167ec9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775623957-13","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Chandan Mitha Amla Candy","100 g","₹60","","","ADD","12 mins","",""
"1775623957-14","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Jaina Silpa Mandir Anardana Goli Sweet and Sour Churan","240 g","₹198","₹220","10%
OFF","ADD","17 mins","",""
"1775623957-15","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Chandan Anardana Punch Anardana Goli","170 g","₹126","₹140","10%
OFF","ADD","12 mins","",""
"1775623957-16","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Jaina Silpa Mandir Six Star Mouth Freshener","300 g","₹216","₹240","10%
OFF","ADD","17 mins","",""
"1775623957-17","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Jaina Silpa Mandir Amla Candy Pachak","200 g","₹198","₹220","10%
OFF","ADD","17 mins","",""
"1775623957-18","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Jaina Silpa Mandir Amrit Amla Candy","180 g","₹198","₹220","10%
OFF","ADD","17 mins","",""
"1775623957-19","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Jaina Silpa Mandir Sweet and Sour Amla Candy","200 g","₹198","₹220","10%
OFF","ADD","17 mins","",""
"1775623957-20","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Pass Pass Minty Mix Mouth Freshener","110 g","₹95","₹120","20%
OFF","ADD","12 mins","",""
"1775623957-21","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Chandan Star 5 in 1 Mouth Freshener","200 g","₹170","₹280","39%
OFF","ADD","12 mins","",""
"1775623957-22","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Impact Black Currant Mint Mint Candies - Sugar Free","14 g","₹150","","","ADD","12 mins","",""
"1775623957-23","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Pass Pass Frutti Mix Mouth Freshener","115 g","₹95","₹120","20%
OFF","ADD","12 mins","",""
"1775623957-24","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Chandan Mint Saunf Mouth Freshener","100 g","₹50","","","ADD","12 mins","",""
"1775623957-25","https://blinkit.com/cn/sweet-tooth/mouth-fresheners/cid/9/1933","Chandan PK's Paan Mouth Freshener","110 g","₹50","","","ADD","12 mins","",""
